allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846333.1,NG_052419.1,No,PNO64647.1,JTBC02000011.1,+,486877,487317,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens FDAARGOS_79 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,FDAARGOS_79,Serratia marcescens,FDAARGOS_79,Serratia marcescens FDAARGOS_79,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846334.1,NG_052423.1,Yes,,JTVI01000034.1,+,5697,6251,+,101.0,655.0,,,,aac(6')-set_A,2023-11-15.1,Pseudomonas aeruginosa AZPAE14826 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside 6'-N-acetyltransferase,Pseudomonas aeruginosa,Pseudomonas aeruginosa,AZPAE14826,,,Pseudomonas aeruginosa AZPAE14826,http://www.wikidata.org/entity/Q31856
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049198488.1,NG_052195.1,Yes,,JUOM01000037.1,+,99017,99457,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 907_SMAR aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,907_SMAR,,,Serratia marcescens 907_SMAR,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049241494.1,NG_052196.1,Yes,,JVCS01000042.1,-,221169,221609,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens subsp. marcescens 546_SSON aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,546_SSON,,,Serratia marcescens 546_SSON,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049208356.1,NG_052194.1,Yes,,JVIF01000032.1,-,234917,235357,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 410_SMAR aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,410_SMAR,,,Serratia marcescens 410_SMAR,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049189080.1,NG_052193.1,Yes,,JVNH01000105.1,+,166896,167336,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 276_SMAR aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,276_SMAR,,,Serratia marcescens 276_SMAR,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049204401.1,NG_052192.1,Yes,,JVXJ01000057.1,-,237191,237631,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 1241_SMAR aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,1241_SMAR,,,Serratia marcescens 1241_SMAR,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049212943.1,NG_052191.1,Yes,,JVYI01000082.1,+,72671,73111,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 1218_SMAR aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens,1218_SMAR,,,Serratia marcescens 1218_SMAR,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049270433.1,NG_052190.1,Yes,,JWBL01000029.1,-,10983,11423,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 1145_SMAR aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,1145_SMAR,,,Serratia marcescens 1145_SMAR,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_039569351.1,NG_052427.1,No,KHO40870.1,JWLO01000007.1,+,59993,60433,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens RM66262 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,RM66262,Serratia marcescens,RM66262,Serratia marcescens RM66262,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_043911783.1,NG_052429.1,No,KIQ65506.1,JXZB01000002.1,+,2083496,2083969,+,101.0,574.0,,,,aac(6')_Strep,2023-11-15.1,Kitasatospora griseola MF730-N6 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Kitasatospora griseola,Kitasatospora griseola,aminoglycoside 6'-N-acetyltransferase,Kitasatospora griseola,Kitasatospora griseola,MF730-N6,Kitasatospora griseola,MF730-N6,Kitasatospora griseola MF730-N6,http://www.wikidata.org/entity/Q25860966
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019655053.1,NG_052534.1,Yes,,KB907453.1,+,470516,471070,+,101.0,655.0,,,,aac(6')-set_A,2023-11-15.1,Variovorax paradoxus 110B aac(6'),aminoglycoside 6'-N-acetyltransferase,,Variovorax paradoxus 110B,Variovorax,aminoglycoside 6'-N-acetyltransferase,Variovorax,Variovorax paradoxus 110B,110B,,,Variovorax paradoxus 110B,http://www.wikidata.org/entity/Q16993380
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_038879528.1,NG_052292.1,Yes,,KE375664.1,-,119655,120095,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens MC620 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens MC620,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens MC620,MC620,,,Serratia marcescens MC620,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846204.1,NG_052175.1,No,AHN60086.1,KJ138219.1,+,999,1553,+,101.0,655.0,,,,aac(6')-set_A,2023-11-15.1,Stenotrophomonas maltophilia TSM-30 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Stenotrophomonas maltophilia,Pseudomonadota,aminoglycoside 6'-N-acetyltransferase,Pseudomonadota,Stenotrophomonas maltophilia,TSM-30,Stenotrophomonas maltophilia,TSM-30,Stenotrophomonas maltophilia TSM-30,http://www.wikidata.org/entity/Q142705
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046502149.1,NG_052464.1,Yes,,LATD01000220.1,+,54422,54895,+,101.0,574.0,,,,aac(6')_Strep,2023-11-15.1,Streptomyces sp. NRRL B-24891 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Streptomyces odonnellii,Streptomyces odonnellii,aminoglycoside 6'-N-acetyltransferase,Streptomyces odonnellii,Streptomyces odonnellii,NRRL B-24891,,,Streptomyces odonnellii NRRL B-24891,http://www.wikidata.org/entity/Q54962339
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046897272.1,NG_052467.1,No,KKZ18771.1,LCWI01000005.1,-,129940,130380,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens 90-166 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens,90-166,Serratia marcescens,90-166,Serratia marcescens 90-166,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_053518652.1,NG_052204.1,No,KOQ68998.1,LDVR01000042.1,-,26566,27033,+,101.0,568.0,,,,aac(6')_Steno,2023-11-15.1,Stenotrophomonas maltophilia B4 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,aminoglycoside 6'-N-acetyltransferase,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,B4,Stenotrophomonas maltophilia,B4,Stenotrophomonas maltophilia B4,http://www.wikidata.org/entity/Q142705
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_048234935.1,NG_052472.1,No,KLX11493.1,LETV01000019.1,-,133123,133563,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens BWH57 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia,aminoglycoside 6'-N-acetyltransferase,Serratia,Serratia marcescens,BWH57,Serratia marcescens,BWH57,Serratia marcescens BWH57,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_048325528.1,NG_052187.1,No,KMJ12223.1,LFBS01000007.1,+,539297,539737,+,101.0,541.0,,,,aac(6')_Serra,2023-11-15.1,Serratia marcescens UCI87 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Serratia marcescens,Serratia marcescens,aminoglycoside 6'-N-acetyltransferase,Serratia marcescens,Serratia marcescens,UCI87,Serratia marcescens,UCI87,Serratia marcescens UCI87,http://www.wikidata.org/entity/Q140004
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049443010.1,NG_052189.1,No,KMU66930.1,LFKU01000005.1,+,90681,91148,+,101.0,568.0,,,,aac(6')_Steno,2023-11-15.1,Stenotrophomonas maltophilia As1 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,aminoglycoside 6'-N-acetyltransferase,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,As1,Stenotrophomonas maltophilia,As1,Stenotrophomonas maltophilia As1,http://www.wikidata.org/entity/Q142705
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049031504.1,NG_052221.1,No,KVS21672.1,LPCS01000005.1,+,67168,67722,+,101.0,655.0,,,,aac(6')-set_A,2023-11-15.1,Burkholderia vietnamiensis HI3392 aac(6'),aminoglycoside 6'-N-acetyltransferase,,Burkholderia vietnamiensis,Pseudomonadota,aminoglycoside 6'-N-acetyltransferase,Pseudomonadota,Burkholderia vietnamiensis,HI3392,Burkholderia vietnamiensis,HI3392,Burkholderia vietnamiensis HI3392,http://www.wikidata.org/entity/Q4999039
aac(6')-33,aac(6'),,aminoglycoside 6'-N-acetyltransferase AAC(6')-33,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_015059044.1,NG_047267.1,No,ACT99625.1,GQ337064.1,+,1203,1757,+,101.0,655.0,19738007,,,aac(6')-33,2023-11-15.1,Pseudomonas aeruginosa PA-A1 aac(6'),aminoglycoside 6'-N-acetyltransferase AAC(6')-33,,Pseudomonas aeruginosa,Gammaproteobacteria,aminoglycoside 6'-N-acetyltransferase AAC(6')-33,Gammaproteobacteria,Pseudomonas aeruginosa,PA-A1,Pseudomonas aeruginosa,PA-A1,Pseudomonas aeruginosa PA-A1,http://www.wikidata.org/entity/Q31856
aac(6')-I30,aac(6'),,aminoglycoside 6'-N-acetyltransferase AAC(6')-I30,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840274.1,NG_047268.1,No,AAP43642.1,AY289608.1,+,1524,2078,+,101.0,655.0,15231768,,,aac(6')-I30,2023-11-15.1,Salmonella enterica subsp. enterica serovar Agona aac(6'),aminoglycoside 6'-N-acetyltransferase AAC(6')-I30,,Salmonella enterica subsp. enterica serovar Agona,Salmonella enterica,aminoglycoside 6'-N-acetyltransferase AAC(6')-I30,Salmonella enterica,Salmonella enterica subsp. enterica serovar Agona,,Salmonella enterica subsp. enterica serovar Agona,,Salmonella enterica subsp. enterica serovar Agona,http://www.wikidata.org/entity/Q2264864
aac(6')-Iae,aac(6'),,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_003159545.1,NG_047277.1,No,BAD14386.1,AB104852.1,+,1935,2486,+,101.0,652.0,16127047,,,aac(6')-Iae,2023-11-15.1,Pseudomonas aeruginosa IMCJ2.S1 aac(6'),aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae,,Pseudomonas aeruginosa,Gammaproteobacteria,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iae,Gammaproteobacteria,Pseudomonas aeruginosa,IMCJ2.S1,Pseudomonas aeruginosa,IMCJ2.S1,Pseudomonas aeruginosa IMCJ2.S1,http://www.wikidata.org/entity/Q31856
aac(6')-Iaf,aac(6'),,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840278.1,NG_047278.1,No,BAH66386.1,AB462903.1,+,1200,1751,+,101.0,652.0,19349516,,,aac(6')-Iaf,2023-11-15.1,Pseudomonas aeruginosa IMCJ798 aac(6'),aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaf,Pseudomonas aeruginosa,Pseudomonas aeruginosa,IMCJ798,Pseudomonas aeruginosa,IMCJ798,Pseudomonas aeruginosa IMCJ798,http://www.wikidata.org/entity/Q31856
aac(6')-Iai,aac(6'),,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840279.1,NG_047279.1,No,ACI28880.1,EU886977.1,+,544,1110,+,101.0,667.0,,,,aac(6')-Iai,2023-11-15.1,Pseudomonas aeruginosa hh320 pLQ1001 aac(6'),aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai,Pseudomonas aeruginosa,Pseudomonas aeruginosa,hh320,Pseudomonas aeruginosa,hh320,Pseudomonas aeruginosa hh320,http://www.wikidata.org/entity/Q31856
aac(6')-Iaj,aac(6'),,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaj,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_069174568.1,NG_051491.1,No,BAM46120.1,AB709942.1,+,1195,1749,+,101.0,655.0,23070167,,,aac(6')-Iaj,2023-11-15.1,Pseudomonas aeruginosa NCGM 1588 aac(6'),aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaj,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,aminoglycoside 6'-N-acetyltransferase AAC(6')-Iaj,Pseudomonas aeruginosa,Pseudomonas aeruginosa,NCGM 1588,Pseudomonas aeruginosa,NCGM 1588,Pseudomonas aeruginosa NCGM 1588,http://www.wikidata.org/entity/Q31856
aac(6')-Ial,aac(6'),,aminoglycoside N-acetyltransferase AAC(6')-Ial,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_016930164.1,NG_047281.1,No,BAO05514.1,AB871481.1,+,10,450,+,10.0,450.0,,,,aac(6')-Ial,2023-11-15.1,Serratia marcescens IOMTU 115 aac(6'),aminoglycoside N-acetyltransferase AAC(6')-Ial,,Serratia marcescens,Serratia,aminoglycoside N-acetyltransferase AAC(6')-Ial,Serratia,Serratia marcescens,IOMTU 115,Serratia marcescens,IOMTU 115,Serratia marcescens IOMTU 115,http://www.wikidata.org/entity/Q140004
aac(6')-Isa,aac(6'),,aminoglycoside N-acetyltransferase AAC(6')-Isa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_016575755.1,NG_047311.1,No,BAD10948.2,AB116646.1,+,430,903,+,101.0,574.0,15625322,,,aac(6')-Isa,2023-11-15.1,Streptomyces albulus IFO 14147 aac(6'),aminoglycoside N-acetyltransferase AAC(6')-Isa,,Streptomyces noursei,Streptomyces noursei,aminoglycoside N-acetyltransferase AAC(6')-Isa,Streptomyces noursei,Streptomyces noursei,IFO 14147,Streptomyces noursei,IFO 14147,Streptomyces noursei IFO 14147,http://www.wikidata.org/entity/Q7623391
aacA16,aac(6'),,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_001109644.1,NG_052380.1,No,ADX02779.1,CP001921.1,+,1247288,1247839,+,101.0,652.0,,,,aacA16,2023-11-15.1,Acinetobacter baumannii 1656-2 aac(6'),AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,,Acinetobacter baumannii 1656-2,Gammaproteobacteria,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA16,Gammaproteobacteria,Acinetobacter baumannii 1656-2,1656-2,Acinetobacter baumannii 1656-2,1656-2,Acinetobacter baumannii 1656-2,http://www.wikidata.org/entity/Q3241189
aacA56,aac(6'),,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_045890872.1,NG_051492.1,No,AIT97187.1,KM201605.1,+,603,1154,+,101.0,652.0,37537271,,,aacA56,2023-11-15.1,Pseudomonas aeruginosa Ps422 aac(6'),AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56,,Pseudomonas aeruginosa,Gammaproteobacteria,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56,Gammaproteobacteria,Pseudomonas aeruginosa,Ps422,Pseudomonas aeruginosa,Ps422,Pseudomonas aeruginosa Ps422,http://www.wikidata.org/entity/Q31856
,aac(6')-29,,aminoglycoside 6'-N-acetyltransferase AAC(6')-29,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_039110076.1,NG_052220.1,No,KVJ93461.1,LRJS01000061.1,-,4233,4640,+,101.0,508.0,,,,aac(6')-29,2023-11-15.1,Enterobacter hormaechei subsp. steigerwaltii SMART_1351 aac(6')-29,aminoglycoside 6'-N-acetyltransferase AAC(6')-29,,Enterobacter hormaechei subsp. steigerwaltii,Gammaproteobacteria,aminoglycoside 6'-N-acetyltransferase AAC(6')-29,Gammaproteobacteria,Enterobacter hormaechei subsp. steigerwaltii,SMART_1351,Enterobacter hormaechei subsp. steigerwaltii,SMART_1351,Enterobacter hormaechei subsp. steigerwaltii SMART_1351,http://www.wikidata.org/entity/Q12180559
,aac(6')-30,,aminoglycoside 6'-N-acetyltransferase AAC(6')-30,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_051645529.1,NG_051559.1,No,KDF29949.1,JMUP01000027.1,-,16228,16668,+,101.0,541.0,,,,aac(6')-30,2023-11-15.1,Enterobacter hormaechei BIDMC 66 aac(6')-30,aminoglycoside 6'-N-acetyltransferase AAC(6')-30,,Enterobacter hormaechei,Enterobacter hormaechei,aminoglycoside 6'-N-acetyltransferase AAC(6')-30,Enterobacter hormaechei,Enterobacter hormaechei,BIDMC 66,Enterobacter hormaechei,BIDMC 66,Enterobacter hormaechei BIDMC 66,http://www.wikidata.org/entity/Q12180559
,aac(6')-31,,aminoglycoside N-acetyltransferase AAC(6')-31,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_054914207.1,NG_052210.1,Yes,,BCBD01000273.1,+,1651,2205,+,101.0,655.0,,,,aac(6')-31,2023-11-15.1,Pseudomonas sp. NBRC 111127 aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,,Pseudomonas sp. NBRC 111127,Pseudomonas sp. NBRC 111127,aminoglycoside N-acetyltransferase AAC(6')-31,Pseudomonas sp. NBRC 111127,Pseudomonas sp. NBRC 111127,NBRC 111127,,,Pseudomonas sp. NBRC 111127,http://www.wikidata.org/entity/Q21365165
,aac(6')-31,,aminoglycoside N-acetyltransferase AAC(6')-31,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_058124867.1,NG_052214.1,No,ALO40181.1,CP013119.1,-,4210133,4210687,+,101.0,655.0,,,,aac(6')-31,2023-11-15.1,Alcaligenes faecalis ZD02 aac(6')-31,aminoglycoside N-acetyltransferase AAC(6')-31,,Alcaligenes faecalis,Alcaligenes faecalis,aminoglycoside N-acetyltransferase AAC(6')-31,Alcaligenes faecalis,Alcaligenes faecalis,ZD02,Alcaligenes faecalis,ZD02,Alcaligenes faecalis ZD02,http://www.wikidata.org/entity/Q137946
,aac(6')-35,,aminoglycoside 6'-N-acetyltransferase AAC(6')-35,core,AMR,AMR,AMINOGLYCOSIDE,KANAMYCIN,WP_087349651.1,NG_063816.1,No,ATL63228.1,KY753879.1,+,1,540,+,1.0,540.0,,,,aac(6')-35,2023-11-15.1,Brevibacillus brevis Vm4 VM4 aac(6')-35,aminoglycoside 6'-N-acetyltransferase AAC(6')-35,,Brevibacillus brevis Vm4,Brevibacillus brevis,aminoglycoside 6'-N-acetyltransferase AAC(6')-35,Brevibacillus brevis,Brevibacillus brevis Vm4,VM4,Brevibacillus brevis Vm4,VM4,Brevibacillus brevis Vm4,http://www.wikidata.org/entity/Q25840575
,aac(6')-D292,,aminoglycoside 6'-N-acetyltransferase AAC(6')-D292,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_058878818.1,NG_242160.1,No,BBQ06954.1,AP022313.1,+,1709214,1709744,+,101.0,631.0,,,,aac(6')-D292,2023-11-15.1,Elizabethkingia anophelis JUNP 353 aac(6')-D292,aminoglycoside 6'-N-acetyltransferase AAC(6')-D292,,Elizabethkingia anophelis,Bacteroidota,aminoglycoside 6'-N-acetyltransferase AAC(6')-D292,Bacteroidota,Elizabethkingia anophelis,JUNP 353,Elizabethkingia anophelis,JUNP 353,Elizabethkingia anophelis JUNP 353,http://www.wikidata.org/entity/Q24976335
,aac(6')-E449,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E449,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_318245538.1,NG_242163.1,No,EAI0894813.1,AABMIF010000005.1,+,43737,44165,+,101.0,529.0,37537271,,,aac(6')_E449,2023-11-15.1,Campylobacter coli FSIS11917939 aac(6')-E449,aminoglycoside 6'-N-acetyltransferase AAC(6')-E449,,Campylobacter coli,Campylobacter coli,aminoglycoside 6'-N-acetyltransferase AAC(6')-E449,Campylobacter coli,Campylobacter coli,FSIS11917939,Campylobacter coli,FSIS11917939,Campylobacter coli FSIS11917939,http://www.wikidata.org/entity/Q1031711
,aac(6')-E526,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E526,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_128470137.1,NG_242164.1,No,MDT2722150.1,JARPZR010000015.1,-,12680,13126,+,101.0,547.0,37537271,,,aac(6')_E526,2023-11-15.1,Enterococcus gallinarum B471-1 aac(6')-E526,aminoglycoside 6'-N-acetyltransferase AAC(6')-E526,,Enterococcus gallinarum,Terrabacteria group,aminoglycoside 6'-N-acetyltransferase AAC(6')-E526,Terrabacteria group,Enterococcus gallinarum,B471-1,Enterococcus gallinarum,B471-1,Enterococcus gallinarum B471-1,http://www.wikidata.org/entity/Q5380225
,aac(6')-E550,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E550,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_058699631.1,NG_242165.1,No,ALU27430.1,CP013690.1,-,3423628,3424062,+,101.0,535.0,37537271,,,aac(6')_E550,2023-11-15.1,Myroides odoratimimus PR63039 aac(6')-E550,aminoglycoside 6'-N-acetyltransferase AAC(6')-E550,,Myroides odoratimimus,Myroides odoratimimus,aminoglycoside 6'-N-acetyltransferase AAC(6')-E550,Myroides odoratimimus,Myroides odoratimimus,PR63039,Myroides odoratimimus,PR63039,Myroides odoratimimus PR63039,http://www.wikidata.org/entity/Q16986138
,aac(6')-E606,,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/KANAMYCIN/TOBRAMYCIN,WP_000405752.1,NG_242167.1,No,EIK27843.1,AHBU01000053.1,-,1297,1740,+,101.0,544.0,37537271,,,aac(6')_E606,2023-11-15.1,Staphylococcus aureus subsp. aureus VRS11a aac(6')-E606,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,,Staphylococcus aureus subsp. aureus VRS11a,Staphylococcus aureus,aminoglycoside 6'-N-acetyltransferase AAC(6')-E606,Staphylococcus aureus,Staphylococcus aureus subsp. aureus VRS11a,VRS11a,Staphylococcus aureus subsp. aureus VRS11a,VRS11a,Staphylococcus aureus subsp. aureus VRS11a,http://www.wikidata.org/entity/Q188121
